scenario_id,pool,topology,conflict_edge_count,relation,old_full_success,old_collision,old_unresolved,old_timeout,old_steps,old_interaction_share,old_interaction_segments,old_mean_linear,old_mean_abs_angular,old_mean_progress,old_mean_nearest,old_high_speed_close_rate,old_negative_progress_rate,old_stagnant_rate,old_multi_local_rate,old_max_concurrent_interaction,ie2_full_success,ie2_collision,ie2_unresolved,ie2_timeout,ie2_steps,ie2_interaction_share,ie2_interaction_segments,ie2_mean_linear,ie2_mean_abs_angular,ie2_mean_progress,ie2_mean_nearest,ie2_high_speed_close_rate,ie2_negative_progress_rate,ie2_stagnant_rate,ie2_multi_local_rate,ie2_max_concurrent_interaction
dense-20260718008956-23b63793de30,dense,edge1,1,tied,1,0,0,0,47,0.15447154471544716,2,0.2505649065500812,0.9321961849927902,-0.008917760439584903,0.8516957232368841,0.0,0.42105263157894735,0.7368421052631579,0.2631578947368421,1,1,0,0,0,17,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008325-2a0732bcdbd8,dense,multi,3,tied,1,0,0,0,29,0.11428571428571428,2,0.24168932810425758,0.766387864947319,0.009487213534218115,0.8532575774131674,0.125,0.25,0.625,0.0,1,1,0,0,0,43,0.23711340206185566,2,0.2281856990378836,0.9822420477867126,-0.01856620634716086,0.7535231521034462,0.13043478260869565,0.7391304347826086,0.9130434782608695,0.30434782608695654,2
dense-20260718009239-ef66bec842b1,dense,edge1,1,ie2_degraded,1,0,0,0,35,0.13432835820895522,1,0.11132712496651544,0.7751088218970431,0.0029945331935363998,,0.0,0.0,0.8888888888888888,0.0,1,0,2,0,0,11,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006776-174c53dac4af,standard,edge1,1,tied,1,0,0,0,22,0.0379746835443038,1,0.6669370532035828,0.7854657471179962,0.05820794622384018,0.8250076101861439,0.3333333333333333,0.0,0.3333333333333333,0.0,1,1,0,0,0,22,0.0375,1,0.7056784629821777,0.9994300802548727,0.035648593415503825,0.7961323564631785,0.3333333333333333,0.0,0.0,0.0,1
standard-20260717006450-bbc6dcdd3309,standard,edge1,1,tied,1,0,0,0,21,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,17,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717007030-b3cc3ab71657,standard,zero,0,tied,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008336-1a6505fe1192,dense,edge1,1,tied,1,0,0,0,14,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008318-e4a06e51d816,dense,edge1,1,tied,1,0,0,0,99,0.19548872180451127,3,0.34274314974363035,1.0,-0.006435793061024536,,0.0,0.6538461538461539,0.7307692307692307,0.0,1,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006476-2aedf9d5a159,standard,edge1,1,tied,1,0,0,0,35,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009333-38e4ac2b5b23,dense,multi,3,tied,0,2,1,1,300,0.7309941520467836,19,0.0403341276049614,0.6383470094515942,0.0008052695792690315,0.8684530142457477,0.008,0.352,0.876,0.04,3,0,2,0,0,66,0.22772277227722773,6,0.3357717854821164,0.8025061915750089,0.012225442646706455,0.983941435139452,0.043478260869565216,0.08695652173913043,0.30434782608695654,0.08695652173913043,1
