seed,episode,scenario_id,robot,full_success,active_steps,first_mode,last_mode,first_probability,mean_probability,visible_switches,controller_switches,run_signature,run_lengths
20260910,32,dense-20260718009589-133ba33f851b,r3,1,9,dense,dense,0.7880899906158447,0.7865859998597039,0,1,dense,dense:9
20260910,32,dense-20260718009589-133ba33f851b,r4,1,10,dense,standard,0.6796435117721558,0.42519131004810334,1,2,dense -> standard,dense:8;standard:2
20260910,32,dense-20260718009589-133ba33f851b,r5,1,15,dense,standard,0.6727447509765625,0.41716963350772857,1,2,dense -> standard,dense:10;standard:5
20260910,33,dense-20260718009747-91d8a354e329,r1,0,13,dense,standard,0.6350078582763672,0.5767197872583683,1,2,dense -> standard,dense:10;standard:3
20260910,33,dense-20260718009747-91d8a354e329,r2,0,13,dense,dense,0.9078672528266907,0.8741378004734333,0,1,dense,dense:13
20260910,33,dense-20260718009747-91d8a354e329,r3,0,48,dense,standard,0.8235226273536682,0.45296090313543874,1,2,dense -> standard,dense:22;standard:26
20260910,33,dense-20260718009747-91d8a354e329,r4,0,26,dense,standard,0.5586554408073425,0.4203774691201173,1,2,dense -> standard,dense:16;standard:10
20260910,33,dense-20260718009747-91d8a354e329,r5,0,35,dense,standard,0.8288574814796448,0.3221071269895349,3,4,dense -> standard -> dense -> standard,dense:8;standard:20;dense:6;standard:1
20260910,34,dense-20260718009788-f45d1920a21d,r1,0,48,dense,standard,0.7001963257789612,0.4411129526173075,1,2,dense -> standard,dense:36;standard:12
20260910,34,dense-20260718009788-f45d1920a21d,r2,0,5,dense,dense,0.716627299785614,0.8638797521591186,0,1,dense,dense:5
20260910,34,dense-20260718009788-f45d1920a21d,r3,0,8,dense,dense,0.5987775921821594,0.4913879632949829,0,1,dense,dense:8
20260910,34,dense-20260718009788-f45d1920a21d,r4,0,7,standard,standard,0.4075973331928253,0.3551054128578731,0,0,standard,standard:7
20260910,34,dense-20260718009788-f45d1920a21d,r5,0,7,dense,standard,0.6169248819351196,0.41250244634492056,1,2,dense -> standard,dense:6;standard:1
20260910,35,dense-20260718009595-81174b873c68,r1,0,5,dense,dense,0.8439894914627075,0.8916415095329284,0,1,dense,dense:5
20260910,35,dense-20260718009595-81174b873c68,r2,0,23,dense,standard,0.8337995409965515,0.6343622738900392,1,2,dense -> standard,dense:16;standard:7
20260910,35,dense-20260718009595-81174b873c68,r3,0,17,dense,standard,0.6999234557151794,0.4918026485863854,1,2,dense -> standard,dense:12;standard:5
